Date,Region,TradePolicyScore,ImportTariffs(%),ComplianceRating,InflationRate(%),ExchangeRate,LaborCostIndex,RevenueImpact(millionsUSD),ConsumerSentimentScore,EthicalSourcingScore,AutomationAdoptionScore,LogisticsEfficiency,CarbonEmissionsReduction(%),SustainabilityScore,SupplyChainViolations,RegulatoryFines(millionsUSD)
01-01-1980,Canada,64.69027785,9.348196743,9,6.490952736,1.608070306,75.40090518,-1.943708015,53,8,79,67,3.364748877,16,12,1.744734747
02-01-1980,India,57.6381184,14.07031527,8,3.072422507,1.427962275,56.1887611,36.21714769,84,60,43,71,19.64104635,75,11,11.66799113
03-01-1980,Japan,40.81252641,1.183113253,6,3.719549577,1.88235721,31.40580305,13.26139506,56,94,0,47,10.91190853,6,1,7.808345781
04-01-1980,Brazil,40.42941839,1.03069535,3,0.823674472,1.185376025,92.29465442,-11.59174565,75,20,61,78,2.198402238,72,16,12.15037328
05-01-1980,Canada,44.81960034,6.269958378,2,8.569881878,1.486508375,34.99223206,-19.05350335,81,35,78,44,25.62621251,45,14,11.98595138
06-01-1980,Australia,75.54013355,17.24254106,7,5.924394501,1.959120546,76.57041349,48.84100119,92,0,21,11,21.35140063,49,12,6.993185653
07-01-1980,China,57.37074202,21.3036937,8,0.836276632,1.615855644,32.08921163,-28.6021428,82,21,95,69,24.1447523,9,1,7.453114422
08-01-1980,Canada,66.69526885,13.979647,1,8.045295997,0.601075961,88.31335762,44.6752024,73,86,58,20,23.8838011,15,5,0.424012428
09-01-1980,Japan,47.32793799,13.30331849,6,4.441153695,0.751300326,68.6115491,-12.53573591,99,86,36,95,10.73035,0,11,7.852699356
10-01-1980,Brazil,50.38578853,10.05773834,7,7.651013502,1.732176654,67.84255185,22.60396261,50,14,22,95,14.46639031,8,0,10.16197164
11-01-1980,India,36.27827893,4.039948899,9,0.126198621,1.002193311,18.76305131,-5.877397952,78,45,32,90,7.00963355,12,14,3.504835463
12-01-1980,Japan,38.56474789,2.958852533,3,0.28739697,1.558877166,47.75220129,38.78483295,97,64,21,74,22.64689607,60,2,14.79790756
13-01-1980,Japan,71.36782774,19.01699403,2,1.707829588,1.5497356,57.24176568,13.47562577,94,5,63,85,15.71885207,47,9,14.62243311
14-01-1980,China,59.24193158,23.18758878,5,2.109165561,1.990550785,36.46326596,-18.71537952,87,39,61,35,19.50016696,15,5,4.242458922
15-01-1980,Mexico,46.87662329,11.45708041,1,7.639555303,1.204809085,89.28771507,-8.413199964,87,34,53,86,10.69866898,97,4,10.69459885
16-01-1980,Brazil,70.14256045,16.48614147,6,7.06694164,1.606748541,85.39029474,-4.374514114,70,80,57,22,20.37547592,40,7,0.450025022
17-01-1980,UK,42.32599528,22.86144127,9,6.160881191,0.573129316,54.42588211,40.87378915,72,60,11,54,20.13614093,29,5,9.986290661
18-01-1980,Japan,78.80163493,2.252840823,9,8.848588965,1.193886531,40.60280824,31.3390735,95,22,17,26,23.10475835,76,10,9.360247313
19-01-1980,Mexico,47.24088039,19.26203633,7,2.471487837,0.780022317,82.13880448,36.36698501,54,19,95,97,4.663124766,71,13,12.33239489
